TRL_ID,TRL_NM,TRL_CD,CTPRV_CD,SGNG_CD,EMNDN_CD,LGDNG_LI_CD,MLTNO_YN,LTNO_ORN,LTNO_VCN,PNTM_XCRD,PNTM_YCRD,TRMNA_XCRD,TRMNA_YCRD,Pet_AP,km,minute
S001,1코스-수락산 코스,1,11,320,108,0,1,298,4,127.0458851,37.68905556,127.074191,37.6728212,1,6.1,130
S002,2코스-덕릉고개 코스,1,11,350,105,0,2,152,1,127.0744139,37.67281883,127.0837131,37.66848119,1,7.4,150
S003,3코스-불암산 코스,1,11,350,105,0,1,72,1,127.0837381,37.6684922,127.087452,37.6218617,1,5.1,110
S004,4코스-망우 용마산 코스,1,11,350,103,0,1,63,0,127.0850187,37.62041613,127.1026354,37.5799123,1,7.7,160
S005,5코스-아차산 코스,1,41,310,106,0,2,7,1,127.1029739,37.57864262,127.1022298,37.54691369,1,5.2,110
S006,6코스-고덕산 코스,1,11,215,104,0,1,551,0,127.1043444,37.54536208,127.1587481,37.55638553,1,9.3,190
S007,7코스-일자산 코스,1,11,740,103,0,1,147,0,127.1569433,37.55523201,127.1349595,37.51328186,1,7.7,160
S008,8코스-장지 탄천 코스,1,11,710,111,0,1,89,0,127.135025,37.51289883,127.1068519,37.48824154,1,7.4,150
S009,9코스-대모 구룡산 코스,1,11,680,115,0,1,727,0,127.1018435,37.48690312,127.0372341,37.46899543,1,10.7,220
S010,10코스-우면산 코스,1,11,650,102,0,1,236,0,127.0370961,37.46931044,126.9826465,37.47327627,1,7.6,160
S011,11코스-관악산 코스,1,11,620,103,0,1,602,131,126.9818116,37.47395263,126.9461591,37.4683273,1,5.8,120
S012,12코스-호암산 코스,1,11,620,102,0,1,211,10,126.9461803,37.46832358,126.9021754,37.43430661,1,7.3,150
S013,13코스-안양천 상류 코스,1,41,171,102,0,1,423,6,126.9021792,37.43428878,126.8709633,37.49593179,1,8.9,180
S014,14코스-안양천 하류 코스,1,11,530,102,0,1,642,77,126.8710514,37.49595141,126.8565178,37.56377187,1,9.2,190
S015,15코스-노을 하늘공원 코스,1,11,500,104,0,1,1459,11,126.8565125,37.56374586,126.9082863,37.58219897,1,7.7,160
S016,16코스-봉산 앵봉산 코스,1,11,410,119,0,1,352,1,126.9083,37.5822014,126.919019,37.63613933,1,9.3,190
S017,17코스-북한산 은평 코스,1,11,380,114,0,1,86,31,126.9190238,37.63612896,126.9405932,37.61104132,0,8.1,170
S018,18코스-북한산 종로 코스,1,11,380,103,0,2,42,1,126.9412311,37.61095851,126.9821562,37.61277465,0,5.3,110
S019,19코스-북한산 성북 코스,1,11,110,183,0,2,6,2,126.9821599,37.61277394,127.0092958,37.63314916,0,6,120
